timestamps,x_array,y_array,z_array
287,-2.4919,1.7902,18.882
288,-1.8662,1.4045,16.479
289,-0.56591,1.3512,14.38
290,0.25933,1.2346,12.384
291,0.66063,1.2915,10.935
292,0.52854,1.1827,10.006
293,0.35869,1.0524,9.2336
294,0.16157,0.98481,8.4196
295,0.078175,1.0031,7.7004
296,0.097195,0.97932,7.0461
297,0.29253,0.91825,6.3797
298,0.54766,0.83215,5.9914
299,0.65503,0.79699,5.8994
300,0.53328,0.77163,5.7492
301,0.38309,0.7917,5.4088
302,0.26958,0.86891,5.0344
303,0.52521,1.0949,4.4215
304,0.73103,1.2942,4.0296
305,0.57933,1.476,4.1694
306,0.15509,1.6658,4.7805
307,-0.24403,1.9437,5.271
308,-0.48073,2.0881,5.8282
309,-0.70527,2.0299,6.7389
310,-1.0339,2.1914,8.7461
311,-1.1568,2.3084,10.667
312,-1.2108,2.6723,11.744
313,-1.2561,3.1168,13.006
314,-1.3768,3.0354,15.169
315,-1.4274,2.9739,17.484
316,-2.0351,2.5651,19.794
317,-2.6435,1.4853,20.861
318,-1.8012,1.0691,19.039
319,-0.65974,0.95827,16.066
320,0.1773,1.0527,13.348
321,0.17228,1.3069,11.563
322,-0.4737,1.5362,10.272
323,-1.3105,1.5874,9.1949
324,-1.6415,1.6843,8.1649
325,-1.531,1.7304,7.4733
326,-1.3869,1.579,7.1702
327,-1.025,1.4676,6.9852
328,-0.56679,1.4159,6.7515
329,-0.1328,1.6162,6.1972
330,0.68967,1.5484,4.0608
331,0.79668,2.2537,7.3415
332,1.4854,2.732,18.373
333,-0.053113,2.3187,11.975
334,-0.44258,1.5104,6.7687
335,-0.071548,1.3005,8.2508
336,-0.12549,2.2144,5.1522
337,0.00408,2.4853,5.5489
338,-0.6421,2.8879,11.969
339,-1.3224,1.646,17.786
340,-1.6817,2.4986,8.4536
341,0.098948,2.1892,7.234
342,0.32679,2.4724,5.3611
343,0.90931,2.495,4.034
344,1.626,3.7562,12.166
345,-0.2014,2.9186,16.863
346,0.068139,2.3482,8.7879
347,1.2858,1.4239,5.9173
348,0.47179,1.6202,4.2127
349,-0.76424,1.9609,6.6472
350,-0.57024,1.3412,18.196
351,-0.93405,0.92275,18.291
352,-2.1932,0.12277,9.1835
353,-0.34034,0.74683,5.5087
354,0.38444,2.0504,4.3578
355,0.3677,2.3682,5.4372
356,1.5987,2.3314,12.435
357,-1.8774,2.4246,18.499
358,-0.13442,1.281,9.9095
359,0.34287,0.71601,6.6299
360,0.54585,0.66025,6.4074
361,0.090644,1.6748,4.0986
362,-0.88752,1.4271,14.334
363,-0.29946,3.8838,16.39
364,-0.74211,1.707,10.519
365,-0.78113,0.2837,7.2976
366,1.0252,1.675,6.0173
367,1.4628,2.6821,5.2248
368,1.3537,3.8146,5.6318
369,1.6193,3.5031,12.848
370,-0.017794,1.767,14.749
371,-0.1276,0.60021,10.514
372,-1.0736,0.85759,8.3165
373,-1.3728,1.1729,7.0452
374,-0.51491,0.81517,5.926
375,-0.73255,-0.30893,8.0656
376,-1.1549,-1.5785,12.011
377,-0.3876,-2.2752,16.79
378,-2.117,-0.61808,8.7311
379,-1.0325,-0.80054,9.9323
380,1.1684,0.27055,9.3221
381,1.2757,0.36261,9.257
382,1.1859,0.41492,8.865
383,1.4534,0.65734,8.2135
384,1.5823,1.015,7.5215
385,1.3172,1.2045,6.9031
386,1.0696,1.392,6.2147
387,0.9595,1.5697,5.473
388,1.1193,1.936,4.8459
389,1.2198,2.2865,4.758
390,1.1126,2.3833,5.1553
391,0.69604,2.2295,6.055
392,0.6559,2.1476,6.5324
393,0.77751,2.1357,6.7428
394,0.60613,2.0987,6.7874
395,0.39513,1.9149,7.5265
396,0.2982,1.8669,9.1844
397,0.13847,1.069,11.885
398,-0.23249,0.2044,14.836
399,0.55495,0.57359,16.242
400,1.7866,1.5975,16.957
401,2.0693,1.8089,17.56
402,1.6194,1.7222,17.315
403,1.0524,1.7924,15.675
404,0.53338,2.3315,13.744
405,-0.16406,2.6427,12.345
406,-0.62781,2.3954,11.622
407,-0.34719,2.0523,10.882
408,0.25919,1.769,9.9177
409,0.6521,1.6235,9.2822
410,0.82321,1.481,8.9265
411,0.84113,1.257,8.526
412,1.0242,0.96429,7.8154
413,1.2085,0.82324,6.9981
414,1.2983,0.9135,6.6715
415,1.3312,1.1928,6.7384
416,1.3251,1.2859,6.5434
417,1.3395,1.363,6.0544
418,1.3222,1.4998,5.4247
419,1.287,1.5837,4.8143
420,1.0314,1.5597,4.1388
421,0.74842,1.673,3.5646
422,0.56991,1.7713,3.2129
423,0.75119,1.9102,3.4592
424,0.84374,1.7851,4.6304
425,0.74663,1.3694,6.2202
426,0.59546,1.2568,7.6039
427,0.70808,1.4669,8.9288
428,0.97327,1.3366,11.549
429,1.053,0.68779,14.631
430,1.4047,1.2498,15.6
431,0.9094,2.3828,14.017
432,0.27014,3.7413,12.452
433,0.13276,4.4431,12.626
434,0.43304,3.8032,14.501
435,0.68114,2.8933,16.339
436,0.71407,1.5178,17.726
437,1.3347,0.759,17.161
438,1.6613,0.98474,15.187
439,1.2612,1.2001,12.899
440,0.568,1.389,11.096
441,-0.59098,1.4729,10.07
442,-1.4392,1.5817,9.0619
443,-1.6363,1.8025,7.8095
444,-1.0936,2.2126,7.0819
445,-0.55991,2.095,7.1892
446,0.041084,1.8287,7.5775
447,0.61535,1.6346,7.6152
448,1.0919,1.6325,7.2733
449,1.2762,1.7729,6.5969
450,1.1828,1.9983,5.7809
451,0.9064,2.2023,4.9877
452,0.66011,2.2503,4.3941
453,0.43252,2.2104,3.8521
454,0.22893,2.1854,3.2622
455,0.29137,2.3036,2.9032
456,0.45399,2.4132,2.9642
457,0.75787,2.5957,3.6863
458,0.68579,2.4325,5.6682
459,0.85174,1.8989,8.5326
460,1.7618,1.5969,11.24
461,2.8158,2.3812,13.981
462,2.4583,3.7601,15.682
463,0.84025,4.6029,16.217
464,-0.13659,4.7256,16.004
465,-0.12279,4.0366,18.213
466,0.6666,2.9134,19.982
467,1.644,2.3673,18.387
468,1.6437,2.0634,15.028
469,1.6224,2.1755,11.707
470,1.2093,2.313,9.2766
471,0.37212,2.1205,7.8559
472,-0.15042,1.9716,7.1119
473,-0.15325,1.7769,6.5217
474,0.18976,1.6567,6.3874
475,0.49031,1.7282,6.4497
476,0.65089,1.5652,6.441
477,0.91435,1.5324,6.1625
478,1.028,1.4996,5.8384
479,0.93415,1.55,5.4785
480,0.68822,1.6069,5.1254
481,0.40259,1.6368,4.7327
482,0.032456,1.7067,4.3973
483,-0.33042,1.8185,3.9362
484,-0.42031,2.2656,3.6523
485,-0.1974,2.6064,3.7882
486,0.19419,2.5629,4.8502
487,0.022151,1.9838,6.0083
488,-0.02716,1.6722,7.4371
489,0.42246,1.8265,9.4414
490,0.67848,2.6268,11.741
491,-0.21879,2.8559,12.17
492,-0.74541,3.2946,11.393
493,-0.47165,3.0687,13.876
494,-0.71483,2.327,19.951
495,-2.2482,1.5433,24.246
