timestamps,x_array,y_array,z_array
323,1.7443,-1.1982,1.4994
324,3.083,-1.6213,1.019
325,3.7104,-2.6681,-0.37168
326,2.6551,-4.0453,-2.4577
327,0.98878,-5.8292,-10.267
328,-21.281,-20.978,-20.328
329,-28.18,-22.946,-6.9216
330,-8.6213,-6.6905,-6.4258
331,-5.131,-3.2443,-4.7738
332,-4.2008,-8.958,-1.1828
333,-5.0812,-18.049,0.60102
334,3.6088,-13.961,6.7717
335,2.1117,-7.2805,0.19782
336,1.4674,-5.5441,5.6181
337,1.8152,-8.5074,9.9181
338,0.88405,-11.275,5.0571
339,-1.6367,-12.373,2.8992
340,-3.793,-12.627,-3.0443
341,-4.9953,-10.911,0.49711
342,-4.855,-9.2471,1.8281
343,-4.6267,-7.4931,2.6536
344,-2.6288,-7.1898,1.963
345,-2.5141,-7.6059,0.39195
346,-4.1498,-8.1852,-0.28704
347,-4.9354,-8.2527,1.6788
348,-4.5365,-7.418,2.6553
349,-3.6335,-7.1786,1.8243
350,-3.3598,-8.898,0.70923
351,-2.0301,-9.5533,-1.535
352,-2.6589,-9.0974,-1.4508
353,-3.8875,-6.2006,0.93757
354,-8.6073,-6.8188,2.0777
355,-11.173,-9.8463,0.79603
356,-9.1113,-8.0222,-0.3682
357,-6.867,-10.364,-0.54229
358,-5.4842,-13.169,-0.197
359,-8.909,-13.413,-0.5782
360,-8.5648,-12.751,-1.9988
361,-5.0788,-12.823,-4.8426
362,-2.7751,-12.744,-1.7165
363,-4.221,-15.947,5.5995
364,-1.9128,-19.052,2.2903
365,0.94913,-19.194,-1.2947
366,-1.2331,-17.739,-1.1045
367,-1.7826,-13.899,0.30886
368,-1.4764,-11.461,3.7628
369,-1.8985,-10.346,3.6341
370,-2.5028,-8.9874,1.614
371,-2.9344,-7.4911,2.3764
372,-2.3295,-6.1637,3.1544
373,-1.4738,-5.309,3.0188
374,-0.8901,-4.3959,2.672
375,0.007144,-3.211,2.5167
376,0.86686,-2.2313,1.9338
377,2.4679,-1.6391,1.208
378,3.6046,-1.8359,0.37097
379,3.4268,-2.6086,-0.94519
380,2.3192,-3.7511,-5.2189
381,-8.9644,-10.961,-21.821
382,-28.086,-24.396,1.07
383,-15.445,-12.465,-8.512
384,0.21879,-26.288,-2.6744
385,1.9289,-9.745,5.0258
386,-6.0941,-7.9717,1.1033
387,-4.5655,-6.8682,2.5599
388,-5.658,-6.9419,2.2631
389,-7.7787,-14.18,0.91671
390,-2.9468,-17.413,3.7616
391,-1.13,-11.452,4.0703
392,-0.58335,-4.3194,2.7832
393,2.3515,-2.1684,-0.19314
394,-5.8826,-5.9187,-5.4131
395,-3.8937,-4.3269,-0.19623
396,-1.865,-13.893,-0.55826
397,-2.6171,-7.8165,2.6419
398,-2.517,-8.7728,-0.84146
399,-10.259,-8.682,-0.72603
400,-7.874,-13.837,-3.5979
401,-0.45453,-19.113,-1.5832
402,-0.95467,-8.1558,2.0798
403,0.093221,-2.1675,2.7487
404,-4.2651,-7.2523,-13.311
405,-1.0257,-9.9884,-0.047405
406,2.8902,-5.9025,10.444
407,-5.7912,-9.0531,0.68232
408,-4.4527,-8.7913,1.7949
409,-3.1114,-9.7039,-1.3378
410,-5.141,-12.271,-2.2956
411,-4.9692,-13.394,2.0042
412,-1.5186,-13.277,1.4112
413,-1.5994,-5.4514,4.2044
414,2.7239,-2.0723,0.51259
415,-17.795,-13.31,-6.928
416,-7.7934,-26.248,4.7699
417,0.34485,-11.341,3.9189
418,-4.7558,-6.4495,3.2091
419,-1.6819,-8.8157,0.74134
420,-10.859,-10.11,3.7126
421,-10.334,-12.432,-1.5637
422,0.97936,-19.954,0.066319
423,-1.5363,-9.1858,3.0324
424,-0.4013,-3.8269,3.0598
425,1.9412,-2.4409,-3.6133
426,-1.6036,-0.30676,5.2509
427,-1.2958,-1.6584,7.0487
428,-4.1643,-9.5808,-3.4836
429,-4.1618,-7.272,0.33123
430,-2.8021,-9.2632,-1.2937
431,-4.6134,-11.104,0.020332
432,-8.284,-10.995,-2.7465
433,2.2357,-17.919,-0.13618
434,-2.7253,-7.073,2.6785
435,-0.30315,-3.5273,3.1265
436,0.94442,-2.351,2.6485
437,2.3145,-2.2051,1.6528
438,3.2924,-2.3042,0.41709
439,2.5815,-2.7146,-1.2134
440,0.38912,-3.7115,-6.265
441,-14.994,-13.869,-23.359
442,-29.582,-23.361,-3.5333
443,-11.03,-9.904,-9.0686
444,-6.4075,-6.0078,-6.1614
445,-4.6892,-10.537,-1.0128
446,-5.4364,-18.738,2.732
447,2.3509,-11.507,3.9279
448,4.0238,-6.2673,0.16393
449,3.6626,-4.7546,4.7177
450,3.4332,-6.5814,7.8988
451,1.7652,-11.017,5.6417
452,-0.33708,-13.442,3.2926
453,-3.4662,-13.818,-2.9858
454,-4.8517,-11.124,-1.2855
455,-4.8229,-8.6222,2.9693
456,-6.4185,-7.8498,2.9903
457,-4.5072,-7.0695,1.4928
458,-3.3761,-7.1484,0.52899
459,-4.1724,-7.7349,-0.081479
460,-5.0019,-8.4152,0.86622
461,-4.0778,-8.0483,2.0996
462,-2.1367,-7.6211,1.4803
463,-1.3453,-8.2097,-0.50504
464,-0.68691,-8.8836,-1.2627
465,-2.257,-10.695,-0.88514
466,-3.2709,-7.4651,0.036507
467,-7.1052,-7.5019,1.8614
468,-10.071,-9.5744,0.87935
469,-8.8062,-8.4949,-1.7173
470,-7.0958,-10.546,-1.6098
471,-6.5958,-13.755,0.43695
472,-9.2561,-14.249,2.8856
473,-9.839,-12.197,-0.48211
474,-7.5645,-12.477,-6.5834
475,-2.7958,-14.375,-4.4009
476,-3.8111,-16.321,4.0761
477,-1.6069,-18.601,3.6858
478,1.3009,-19.472,-0.039054
479,0.70291,-18.849,-0.48734
480,-0.76265,-15.345,0.04594
481,-0.62259,-11.326,3.6553
482,-1.5602,-9.5049,4.2237
483,-2.112,-8.6229,1.4671
484,-2.9464,-7.6875,2.5672
485,-2.7004,-6.1775,3.3373
486,-1.5123,-5.1404,2.9099
487,-0.82564,-4.118,3.1149
488,-0.005133,-2.9213,2.8683
489,1.2755,-1.7605,1.8633
490,2.6867,-1.2842,0.9558
491,3.3866,-1.3593,0.14918
492,2.105,-2.1029,-1.318
493,0.13592,-3.1778,-6.3752
494,-13.597,-11.535,-21.877
495,-28.561,-24.103,-1.3837
496,-11.535,-10.554,-7.7466
497,-5.5631,-5.8673,-4.9147
498,-2.6783,-10.17,-3.9026
499,-3.432,-17.722,0.80273
500,-0.99138,-11.509,0.57896
501,3.3307,-5.7243,1.9981
502,2.231,-5.8299,3.6374
503,2.418,-8.2022,8.2054
504,0.35026,-11.722,7.2378
505,-1.8896,-12.901,4.3166
506,-4.0037,-11.671,0.21794
507,-5.5261,-9.6758,-1.9802
508,-5.7636,-8.8532,-0.05657
509,-6.0598,-8.5035,1.5641
510,-4.7173,-7.4993,2.5654
511,-3.1385,-7.8666,1.1728
512,-1.8548,-7.5903,-0.52103
513,-2.1971,-8.1742,-0.020638
514,-2.2755,-8.5505,1.5189
515,-1.6543,-8.1293,3.1596
516,-1.0994,-8.2963,2.0854
517,-2.4044,-10.729,-1.4731
518,-3.679,-9.5111,-2.5913
519,-3.849,-6.0254,-0.64624
520,-6.7995,-6.4871,2.473
521,-9.6401,-10.058,1.8314
522,-9.5219,-8.6707,-1.774
523,-6.5621,-10.696,-1.5944
524,-6.5012,-11.909,-2.0647
525,-9.8132,-13.293,-0.72171
526,-9.5454,-13.661,0.17707
527,-7.7894,-13.548,-1.6169
528,-4.0437,-12.932,-3.5258
529,-4.1903,-15.712,2.9756
530,-2.6696,-18.809,2.6747
531,0.57535,-19.635,-0.038211
532,0.63726,-17.961,-0.28456
533,-1.3831,-14.11,0.53096
534,-1.8992,-11.03,3.803
535,-2.183,-9.9802,3.348
536,-2.7595,-9.8887,2.0446
537,-2.9935,-8.7976,2.9888
538,-2.9484,-6.9675,3.8322
539,-1.9004,-5.5221,3.5108
540,-0.48815,-4.3256,3.4596
541,0.2677,-2.9741,2.9387
542,1.4171,-1.7664,2.1622
543,3.1939,-1.4431,1.2018
544,4.1773,-1.6657,-0.18107
545,2.7084,-2.9511,-1.517
546,1.2196,-4.453,-7.6135
547,-18.699,-15.235,-24.282
548,-29.183,-22.957,-6.571
549,-11.269,-8.5542,-7.0472
550,-5.5505,-1.8286,-1.4199
551,-0.5873,0.32739,6.0026
552,1.4945,-5.3679,3.5108
553,13.055,-21.049,-17.418
554,-12.554,-29.045,4.9887
555,-5.3977,-8.7201,-0.64164
556,1.9167,-1.3482,4.9142
557,2.4322,-7.2412,7.8357
558,2.1559,-10.714,6.0873
559,1.3437,-10.028,4.3097
560,-0.38438,-9.7451,2.2901
561,-4.7327,-11.898,-4.707
562,-6.511,-10.6,-1.5447
563,-6.4296,-7.743,2.0007
564,-3.9824,-6.5896,2.3842
565,-3.2922,-8.431,1.0578
566,-2.9534,-7.8528,1.1256
567,-3.8708,-7.7753,2.265
568,-3.9372,-7.37,2.6261
569,-3.5234,-8.4251,0.47865
570,-2.4045,-9.0104,-1.4484
571,-2.6584,-10.035,-0.71169
572,-3.4417,-8.7814,0.64929
573,-3.985,-6.0946,1.0342
574,-9.4673,-8.7564,0.55583
575,-10.694,-10.789,-1.0573
576,-6.5935,-9.8131,-1.8822
577,-4.1867,-10.824,-1.387
578,-6.8801,-12.825,-0.75176
579,-9.7618,-14.723,-0.46097
580,-8.8271,-13.297,-2.2745
581,-4.7291,-12.363,-1.8034
582,-5.1879,-12.724,2.0734
583,-6.4511,-15.192,5.3798
584,-4.8117,-17.678,1.852
585,-1.6429,-17.461,-0.25767
586,-2.1193,-16.117,-0.33039
587,-1.536,-13.503,0.34979
588,-1.5774,-10.917,4.8048
589,-1.3856,-9.4997,3.0696
590,-1.3334,-8.7693,2.0342
591,-1.5937,-7.7655,2.8801
592,-2.1755,-6.5715,3.2626
593,-1.6777,-5.5062,3.3686
594,-0.2372,-4.5095,3.3237
595,0.27929,-3.6217,2.414
596,1.1752,-2.9926,1.7155
597,2.7585,-2.8947,0.87172
598,3.692,-3.0089,-0.7441
599,3.2874,-3.8037,-2.8103
600,1.9559,-5.5223,-9.3202
601,-19.799,-15.68,-21.068
602,-29.095,-20.067,-5.4891
603,-10.41,-7.3022,-5.5736
604,-6.9917,-5.8154,-4.1014
605,-7.8257,-13.402,4.6907
606,-6.9587,-14.84,6.2759
607,1.526,-13.255,5.0904
608,-8.2397,-7.6934,0.85787
609,-2.2959,-7.7556,1.8336
610,-4.0124,-6.5572,0.3313
611,-8.2525,-13.036,-2.2119
612,-5.8214,-16.679,3.6644
613,-0.99638,-11.341,4.3253
614,-1.5939,-5.2247,4.877
615,5.0778,-1.9095,-1.1355
616,-10.445,-7.1422,-4.9328
617,0.70348,-4.5139,-4.8474
618,-2.9406,-13.82,0.34923
619,-2.882,-7.9834,1.1426
620,-2.8267,-7.619,0.019498
621,-8.996,-9.1142,0.96322
622,-9.4683,-13.835,-1.4491
623,-0.83485,-18.473,0.20393
624,-1.6873,-9.4768,2.6215
625,0.39382,-2.8177,3.7307
626,2.1742,-4.2071,-7.2549
627,-6.4575,-15.431,-3.6278
628,3.1522,-8.9487,6.088
629,-4.0247,-8.3611,1.7224
630,-5.4041,-7.4757,-0.076471
631,-1.5427,-10.139,-2.4246
632,-10.25,-8.1055,-2.1315
633,-4.326,-12.929,0.95476
634,-2.5155,-15.954,-0.77682
635,-0.54541,-5.7979,3.9494
636,2.5552,-1.5595,0.91777
637,-28.834,-23.416,-3.6135
638,-3.4888,-19.285,0.26096
639,1.3063,-11.819,4.7415
640,-6.6787,-7.7995,1.724
641,-3.5738,-8.6302,3.5886
642,-3.9602,-6.0055,0.79513
643,-8.4759,-14.536,-0.59096
644,-4.6688,-16.72,4.1449
645,-0.38197,-10.728,4.4893
646,-1.3635,-4.2221,3.2112
647,3.0785,-2.2167,-0.11176
648,-6.1555,-4.5883,-3.6995
649,-2.235,-4.2054,2.3074
650,-3.4589,-12.142,-2.7335
651,-2.1128,-7.2592,0.67784
652,-3.0129,-9.0902,-0.26517
653,-10.095,-10.357,0.64976
654,-9.3921,-13.799,-3.8475
655,-0.99074,-18.325,0.55094
656,-1.7604,-7.7754,2.1228
657,0.19897,-3.2965,2.5812
658,1.4447,-4.2402,-9.8372
659,-4.3448,-5.4694,1.1288
660,4.6321,-4.5699,7.1085
661,-5.245,-10.751,-1.0153
662,-2.8151,-8.0221,-0.040309
663,-3.4183,-10.306,-1.3647
664,-6.2176,-10.29,-1.0064
665,-4.7577,-13.809,-1.602
666,-0.065046,-14.869,0.41491
667,-4.052,-5.8927,3.479
668,2.7074,-1.7457,1.217
669,-26.609,-23.859,-3.6773
670,-0.77078,-20.38,-3.1813
671,-0.80802,-12.159,4.303
672,-6.0391,-7.7359,2.305
673,-3.1892,-7.8444,2.9974
674,-6.9206,-6.1252,1.9172
675,-9.2838,-16.059,-2.0899
676,-5.1192,-17.441,3.4429
677,-0.51001,-10.196,2.0925
678,-0.39469,-3.4611,3.5551
679,2.8664,-3.3266,-1.5344
680,-4.9394,-3.4897,-2.7978
681,-2.7133,-4.9256,-0.69632
682,-1.5475,-10.211,-0.66409
683,-3.685,-7.4348,0.56517
684,-0.50865,-8.5713,-1.0015
685,-10.836,-9.3407,-1.167
686,-7.5986,-12.91,-2.5854
687,0.063293,-19.485,-0.54438
